model-1664226906,1664226926.051,0.51,0.2501,0.5,0.2694
model-1664226906,1664226926.185,0.53,0.2616,0.34,0.2558
model-1664226906,1664226926.28,0.44,0.2532,0.62,0.2472
model-1664226906,1664226926.322,0.44,0.2517,0.56,0.2499
model-1664226906,1664226926.34,0.55,0.2498,0.47,0.2503
model-1664226906,1664226926.36,0.5,0.2499,0.34,0.2528
model-1664226906,1664226926.376,0.54,0.2492,0.44,0.2537
model-1664226906,1664226926.393,0.58,0.2464,0.47,0.2594
model-1664226906,1664226926.41,0.49,0.2564,0.59,0.2435
model-1664226906,1664226926.426,0.51,0.2518,0.47,0.2518
model-1664226906,1664226926.445,0.43,0.2536,0.53,0.2496
model-1664226906,1664226926.462,0.46,0.2505,0.47,0.2503
model-1664226906,1664226926.478,0.53,0.2497,0.56,0.2498
model-1664226906,1664226926.495,0.46,0.25,0.5,0.25
model-1664226906,1664226926.511,0.61,0.2497,0.66,0.2487
model-1664226906,1664226926.527,0.42,0.2506,0.47,0.2501
model-1664226906,1664226926.544,0.58,0.2496,0.38,0.2507
model-1664226906,1664226926.56,0.56,0.2495,0.47,0.2499
model-1664226906,1664226926.577,0.51,0.2496,0.38,0.2514
model-1664226906,1664226926.593,0.52,0.2495,0.66,0.2455
model-1664226906,1664226926.609,0.49,0.2501,0.34,0.2561
model-1664226906,1664226926.625,0.54,0.2483,0.38,0.2562
model-1664226906,1664226926.641,0.43,0.2538,0.47,0.2502
model-1664226906,1664226926.659,0.46,0.2511,0.62,0.2463
model-1664226906,1664226926.675,0.45,0.2516,0.59,0.2489
model-1664226906,1664226926.69,0.53,0.2494,0.53,0.2498
model-1664226906,1664226926.706,0.6,0.2496,0.59,0.2498
model-1664226906,1664226926.722,0.57,0.2497,0.59,0.2496
model-1664226906,1664226926.738,0.56,0.2496,0.44,0.2502
model-1664226906,1664226926.755,0.58,0.2493,0.56,0.2495
model-1664226906,1664226926.773,0.62,0.2489,0.41,0.2512
model-1664226906,1664226926.789,0.55,0.2493,0.5,0.2502
model-1664226906,1664226926.805,0.48,0.2504,0.44,0.2514
model-1664226906,1664226926.82,0.57,0.2488,0.59,0.2477
model-1664226906,1664226926.836,0.49,0.2505,0.59,0.2474
model-1664226906,1664226926.852,0.53,0.2496,0.44,0.2523
model-1664226906,1664226926.869,0.44,0.2521,0.5,0.2504
model-1664226906,1664226926.887,0.48,0.2509,0.47,0.251
model-1664226906,1664226926.903,0.51,0.2499,0.41,0.2522
model-1664226906,1664226926.919,0.44,0.2514,0.44,0.2513
model-1664226906,1664226926.935,0.56,0.249,0.5,0.25
model-1664226906,1664226926.951,0.5,0.25,0.44,0.251
model-1664226906,1664226926.967,0.49,0.2502,0.5,0.25
model-1664226906,1664226926.983,0.57,0.249,0.53,0.2494
model-1664226906,1664226927.0,0.52,0.2497,0.47,0.2504
model-1664226906,1664226927.016,0.46,0.2506,0.5,0.25
model-1664226906,1664226927.032,0.47,0.2504,0.56,0.2491
model-1664226906,1664226927.048,0.51,0.2498,0.5,0.2499
model-1664226906,1664226927.064,0.47,0.2503,0.53,0.2494
model-1664226906,1664226927.08,0.49,0.2499,0.44,0.2503
model-1664226906,1664226927.096,0.53,0.2493,0.56,0.2492
model-1664226906,1664226927.112,0.44,0.2502,0.59,0.2496
model-1664226906,1664226927.13,0.6,0.2496,0.38,0.2512
model-1664226906,1664226927.146,0.5,0.2501,0.5,0.25
model-1664226906,1664226927.162,0.48,0.25,0.56,0.2495
model-1664226906,1664226927.177,0.51,0.2495,0.53,0.2492
model-1664226906,1664226927.193,0.57,0.2496,0.56,0.2498
model-1664226906,1664226927.209,0.64,0.2494,0.69,0.2491
model-1664226906,1664226927.227,0.55,0.2495,0.59,0.2487
model-1664226906,1664226927.243,0.63,0.2487,0.44,0.2507
model-1664226906,1664226927.259,0.49,0.2493,0.59,0.2466
model-1664226906,1664226927.274,0.65,0.2469,0.5,0.2508
model-1664226906,1664226927.29,0.48,0.2512,0.56,0.2473
model-1664226906,1664226927.306,0.65,0.2424,0.53,0.2475
model-1664226906,1664226927.321,0.5,0.2491,0.47,0.2479
model-1664226906,1664226927.338,0.49,0.2502,0.59,0.2467
model-1664226906,1664226927.354,0.55,0.2477,0.53,0.2461
model-1664226906,1664226927.37,0.55,0.2472,0.5,0.2486
model-1664226906,1664226927.386,0.57,0.2438,0.59,0.2423
model-1664226906,1664226927.402,0.46,0.2551,0.47,0.2535
model-1664226906,1664226927.418,0.58,0.2426,0.44,0.2535
model-1664226906,1664226927.433,0.46,0.257,0.62,0.2351
model-1664226906,1664226927.451,0.66,0.2303,0.62,0.2332
model-1664226906,1664226927.467,0.56,0.2432,0.59,0.2366
model-1664226906,1664226927.483,0.51,0.2539,0.56,0.2357
model-1664226906,1664226927.499,0.58,0.2415,0.5,0.2501
model-1664226906,1664226927.515,0.42,0.2637,0.53,0.2424
model-1664226906,1664226927.531,0.52,0.2474,0.56,0.2449
model-1664226906,1664226927.546,0.55,0.2429,0.53,0.2442
model-1664226906,1664226927.564,0.56,0.2463,0.62,0.2448
model-1664226906,1664226927.58,0.55,0.246,0.41,0.2486
model-1664226906,1664226927.596,0.53,0.2482,0.5,0.2427
model-1664226906,1664226927.611,0.61,0.2433,0.59,0.2485
model-1664226906,1664226927.628,0.64,0.2453,0.66,0.2334
model-1664226906,1664226927.645,0.64,0.2416,0.78,0.2262
model-1664226906,1664226927.661,0.61,0.2394,0.59,0.2444
model-1664226906,1664226927.68,0.53,0.2519,0.62,0.227
model-1664226906,1664226927.699,0.61,0.2319,0.81,0.2173
model-1664226906,1664226927.718,0.55,0.2426,0.47,0.2416
model-1664226906,1664226927.736,0.57,0.2381,0.38,0.2741
model-1664226906,1664226927.753,0.5,0.2505,0.5,0.2511
model-1664226906,1664226927.771,0.53,0.2435,0.66,0.231
model-1664226906,1664226927.788,0.53,0.2466,0.62,0.239
model-1664226906,1664226927.806,0.54,0.2425,0.69,0.2224
model-1664226906,1664226927.823,0.5,0.2401,0.66,0.2229
model-1664226906,1664226927.841,0.55,0.2269,0.62,0.2308
model-1664226906,1664226927.858,0.53,0.2757,0.69,0.2467
model-1664226906,1664226927.875,0.58,0.2417,0.66,0.2474
model-1664226906,1664226927.892,0.64,0.2314,0.59,0.224
model-1664226906,1664226927.91,0.63,0.2398,0.38,0.2766
model-1664226906,1664226927.927,0.69,0.2317,0.5,0.2517
model-1664226906,1664226927.944,0.54,0.2531,0.78,0.2077
model-1664226906,1664226927.962,0.59,0.2492,0.44,0.2608
model-1664226906,1664226927.979,0.56,0.2389,0.53,0.2467
model-1664226906,1664226927.995,0.6,0.2357,0.44,0.2534
model-1664226906,1664226928.013,0.58,0.2436,0.5,0.2539
model-1664226906,1664226928.031,0.61,0.2374,0.66,0.2296
model-1664226906,1664226928.048,0.52,0.2379,0.66,0.2493
model-1664226906,1664226928.065,0.55,0.245,0.66,0.2272
model-1664226906,1664226928.083,0.51,0.2539,0.53,0.2471
model-1664226906,1664226928.1,0.6,0.2406,0.78,0.2169
model-1664226906,1664226928.118,0.68,0.227,0.72,0.2204
model-1664226906,1664226928.135,0.59,0.2381,0.59,0.2444
model-1664226906,1664226928.153,0.61,0.2321,0.59,0.228
model-1664226906,1664226928.17,0.46,0.2704,0.38,0.278
model-1664226906,1664226928.187,0.57,0.2425,0.72,0.2162
model-1664226906,1664226928.204,0.56,0.2417,0.5,0.2568
model-1664226906,1664226928.222,0.59,0.2343,0.5,0.2511
model-1664226906,1664226928.24,0.58,0.2398,0.62,0.2291
model-1664226906,1664226928.257,0.53,0.2494,0.44,0.2541
model-1664226906,1664226928.274,0.59,0.2371,0.47,0.2415
model-1664226906,1664226928.292,0.57,0.2498,0.72,0.2126
model-1664226906,1664226928.309,0.54,0.2472,0.56,0.2511
model-1664226906,1664226928.326,0.51,0.2455,0.53,0.2469
model-1664226906,1664226928.344,0.61,0.2399,0.5,0.2533
model-1664226906,1664226928.361,0.41,0.2569,0.56,0.2426
model-1664226906,1664226928.378,0.49,0.2474,0.44,0.2545
model-1664226906,1664226928.396,0.56,0.237,0.44,0.261
model-1664226906,1664226928.413,0.53,0.2453,0.53,0.237
model-1664226906,1664226928.43,0.53,0.2481,0.56,0.2293
model-1664226906,1664226928.448,0.56,0.2372,0.31,0.2679
model-1664226906,1664226928.465,0.46,0.249,0.66,0.2415
model-1664226906,1664226928.482,0.54,0.239,0.72,0.2252
model-1664226906,1664226928.5,0.62,0.2394,0.72,0.2317
model-1664226906,1664226928.517,0.6,0.2443,0.56,0.232
model-1664226906,1664226928.535,0.63,0.2334,0.69,0.2244
model-1664226906,1664226928.552,0.46,0.2571,0.59,0.2646
model-1664226906,1664226928.569,0.48,0.2478,0.53,0.2355
model-1664226906,1664226928.587,0.64,0.2399,0.66,0.2413
model-1664226906,1664226928.604,0.6,0.2348,0.47,0.2409
model-1664226906,1664226928.621,0.58,0.2435,0.66,0.2558
model-1664226906,1664226928.639,0.52,0.2484,0.5,0.251
model-1664226906,1664226928.656,0.57,0.235,0.66,0.2056
model-1664226906,1664226928.673,0.57,0.2445,0.66,0.2185
model-1664226906,1664226928.69,0.56,0.2423,0.66,0.2307
model-1664226906,1664226928.708,0.45,0.2637,0.41,0.2676
model-1664226906,1664226928.726,0.63,0.2355,0.69,0.229
model-1664226906,1664226928.744,0.56,0.2394,0.5,0.2601
model-1664226906,1664226928.761,0.56,0.2435,0.66,0.2476
model-1664226906,1664226928.779,0.6,0.2439,0.56,0.2463
model-1664226906,1664226928.795,0.57,0.2398,0.53,0.2476
model-1664226906,1664226928.811,0.72,0.228,0.62,0.2317
model-1664226906,1664226928.827,0.61,0.2284,0.56,0.2428
model-1664226906,1664226928.844,0.54,0.2323,0.59,0.2513
model-1664226906,1664226928.86,0.58,0.2399,0.47,0.2439
model-1664226906,1664226928.876,0.68,0.2186,0.66,0.2309
model-1664226906,1664226928.892,0.58,0.2277,0.5,0.2395
model-1664226906,1664226928.908,0.53,0.2491,0.69,0.2113
model-1664226906,1664226928.924,0.55,0.2407,0.53,0.2537
model-1664226906,1664226928.939,0.6,0.2353,0.56,0.2194
model-1664226906,1664226928.957,0.61,0.2254,0.56,0.2291
model-1664226906,1664226928.973,0.66,0.2241,0.44,0.3054
model-1664226906,1664226928.989,0.56,0.2522,0.62,0.1991
model-1664226906,1664226929.004,0.53,0.2506,0.53,0.27
model-1664226906,1664226929.02,0.56,0.237,0.38,0.2717
model-1664226906,1664226929.036,0.58,0.2496,0.72,0.2039
model-1664226906,1664226929.051,0.51,0.2541,0.47,0.2709
model-1664226906,1664226929.069,0.54,0.2511,0.5,0.2394
model-1664226906,1664226929.085,0.54,0.2543,0.59,0.2398
model-1664226906,1664226929.101,0.58,0.2333,0.59,0.2393
model-1664226906,1664226929.117,0.62,0.2283,0.62,0.2311
model-1664226906,1664226929.133,0.62,0.2291,0.66,0.2317
model-1664226906,1664226929.148,0.62,0.2445,0.69,0.2306
model-1664226906,1664226929.164,0.61,0.2354,0.62,0.2328
model-1664226906,1664226929.181,0.63,0.2365,0.56,0.2455
model-1664226906,1664226929.197,0.53,0.2445,0.59,0.2414
model-1664226906,1664226929.213,0.66,0.2273,0.72,0.2267
model-1664226906,1664226929.229,0.65,0.2367,0.59,0.2217
model-1664226906,1664226929.245,0.59,0.2429,0.66,0.2077
model-1664226906,1664226929.261,0.55,0.2371,0.62,0.2301
model-1664226906,1664226929.276,0.6,0.2418,0.66,0.2346
model-1664226906,1664226929.294,0.57,0.2435,0.59,0.2319
model-1664226906,1664226929.31,0.65,0.2262,0.62,0.1976
model-1664226906,1664226929.326,0.65,0.2339,0.75,0.2097
model-1664226906,1664226929.341,0.66,0.2224,0.53,0.2386
model-1664226906,1664226929.357,0.62,0.2361,0.69,0.219
model-1664226906,1664226929.374,0.61,0.2383,0.69,0.2029
model-1664226906,1664226929.389,0.65,0.2255,0.62,0.2489
model-1664226906,1664226929.407,0.65,0.2234,0.59,0.2197
model-1664226906,1664226929.422,0.62,0.2178,0.59,0.2477
model-1664226906,1664226929.438,0.57,0.2505,0.5,0.263
model-1664226906,1664226929.454,0.56,0.2481,0.66,0.2029
